Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up', parameters='hybridization_cg_params', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
        Python: firedrake.matrix_free.operators.ImplicitMatrixContext
      Firedrake matrix-free operator ImplicitMatrixContext
TIMING 654.2860548496246
Solved succesfully.
before M_0 * (M_1).inv * M_2
after M_0 * (M_1).inv * M_2
before M_0 * (M_1).inv * AV_3
after M_0 * (M_1).solve(AV_3)
before (M_4 + -(M_5 * (M_6).inv * M_7)).solve(AV_8 + -(M_5 * (M_6).inv * AV_9) + -(((M_10).T + -(M_5 * (M_6).inv * (M_11).T)) * AV_12))
after (M_4 + -(M_5 * (M_6).inv * M_7)).solve(AV_8 + -(M_5 * (M_6).solve(AV_9)) + -(((AV_12).T * M_10).T + -(M_5 * (M_6).solve(((AV_12).T * M_11).T))))
before (M_6).solve(AV_9 + -(M_7 * AV_13) + -((M_11).T * AV_12))
after (M_6).solve(AV_9 + -(M_7 * AV_13) + -((AV_12).T * M_11).T)
