Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up', parameters='hybridization_global_matfree_cg', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=3, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_global_matfree_cg

    Residual norms for firedrake_0_ solve.
    230 KSP Residual norm 1.038622102290e-07 
    231 KSP Residual norm 8.891475789757e-08 
    232 KSP Residual norm 8.273021364361e-08 
    233 KSP Residual norm 7.123242659806e-08 
    234 KSP Residual norm 6.246745720605e-08 
    235 KSP Residual norm 6.289414649488e-08 
    236 KSP Residual norm 5.147604222225e-08 
    237 KSP Residual norm 4.596359581670e-08 
    238 KSP Residual norm 4.498328737856e-08 
    239 KSP Residual norm 3.607004979987e-08 
    240 KSP Residual norm 3.282769087695e-08 
    241 KSP Residual norm 3.146721600389e-08 
    242 KSP Residual norm 2.651373940126e-08 
    243 KSP Residual norm 2.387550731290e-08 
    244 KSP Residual norm 2.200455830545e-08 
    245 KSP Residual norm 1.949775137027e-08 
    246 KSP Residual norm 1.894165210747e-08 
    247 KSP Residual norm 1.786140071413e-08 
    248 KSP Residual norm 1.513009399881e-08 
    249 KSP Residual norm 1.399044462313e-08 
    250 KSP Residual norm 1.293177374962e-08 
    251 KSP Residual norm 9.674188682517e-09 
    252 KSP Residual norm 7.945213266415e-09 
    253 KSP Residual norm 6.506796341930e-09 
    254 KSP Residual norm 5.980408430932e-09 
    255 KSP Residual norm 5.658421656021e-09 
    256 KSP Residual norm 5.036376420353e-09 
    257 KSP Residual norm 4.909675477317e-09 
    258 KSP Residual norm 4.488440775803e-09 
    259 KSP Residual norm 3.665092779971e-09 
    260 KSP Residual norm 3.724516134040e-09 
    261 KSP Residual norm 3.080451780622e-09 
    262 KSP Residual norm 2.531669515197e-09 
    263 KSP Residual norm 2.141900911411e-09 
    264 KSP Residual norm 1.801341991212e-09 
    265 KSP Residual norm 1.619265206369e-09 
    266 KSP Residual norm 1.604708545248e-09 
    267 KSP Residual norm 1.585502734637e-09 
    268 KSP Residual norm 1.539902656795e-09 
    269 KSP Residual norm 1.401759612899e-09 
    270 KSP Residual norm 1.278635947466e-09 
    271 KSP Residual norm 1.046967186703e-09 
    272 KSP Residual norm 9.894065808458e-10 
    273 KSP Residual norm 9.655498282327e-10 
    274 KSP Residual norm 8.416611291501e-10 
    275 KSP Residual norm 6.418478297259e-10 
    276 KSP Residual norm 5.793197709635e-10 
    277 KSP Residual norm 5.276197704879e-10 
    278 KSP Residual norm 4.467142370613e-10 
    279 KSP Residual norm 3.846290658643e-10 
    280 KSP Residual norm 3.321471427521e-10 
    281 KSP Residual norm 2.987834754800e-10 
    282 KSP Residual norm 2.875342194380e-10 
    283 KSP Residual norm 2.429952310786e-10 
    284 KSP Residual norm 2.162766257765e-10 
    285 KSP Residual norm 1.722902749303e-10 
    286 KSP Residual norm 1.614474952236e-10 
    287 KSP Residual norm 1.359038874164e-10 
    288 KSP Residual norm 1.148980572632e-10 
    289 KSP Residual norm 9.436748177539e-11 
    290 KSP Residual norm 9.032026325569e-11 
    291 KSP Residual norm 7.325497556499e-11 
    292 KSP Residual norm 6.268411689584e-11 
    293 KSP Residual norm 5.677626751234e-11 
    294 KSP Residual norm 5.116867367143e-11 
    295 KSP Residual norm 4.141753074134e-11 
    1 KSP Residual norm 2.984032614968e-12 
KSP Object: (firedrake_0_) 1 MPI processes
  type: fgmres
    restart=30, using Classical (unmodified) Gram-Schmidt Orthogonalization with no iterative refinement
    happy breakdown tolerance 1e-30
  maximum iterations=2, initial guess is zero
  tolerances:  relative=1e-09, absolute=1e-90, divergence=10000.
